[ 2011-10-06T08:48:28+08:00 ] SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.030477s ]
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined offset: 0 Model.class.php 第 259 行.
[ 2011-10-06T08:48:28+08:00 ] SQL: SELECT * FROM `think_form` ORDER BY id desc [ RunTime:0.018296s ]
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T08:48:28+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 77 行.
[ 2011-10-06T09:52:58+08:00 ] SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.006062s ]
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined offset: 0 Model.class.php 第 259 行.
[ 2011-10-06T09:52:58+08:00 ] SQL: SELECT * FROM `think_form` ORDER BY id desc [ RunTime:0.001120s ]
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
[ 2011-10-06T09:52:58+08:00 ] NOTIC: [8] Undefined variable: odd 0573c70d8602d961e53f714ea77bd87c.php 第 71 行.
